CHARTER NO	ID
25154	6c3aaa22b8a372254aef26932268ad83388a5d0e
14688	8f3ea34bd9a92af9b2f7ad09a001ff7277f14292
14206	c68c3e498a74f12045d79165a01dfee516b0e66d
16804	eb248c06d3189c81d5613f272576615020d4bd03
24470	60fc76e8d6e995c5ab81e3db35003fb2c6934d4e
16320	3f6393db915d0d6adc71942ce7e055626a9ef4d9
22286	bc39ef71f766b98f62b13ae2c7de3168b8f06dc9
15820	2de9553900a80945a972a745350be3344bdb281c
17319	0caa2fd49c44b2e6f7d0a6c5e9d4ab7d10130c57
24456	5b19e82be8c58b0c80ee9776362dcac1e20200dd
25151	5d47b8928f3d43b3adcf1678c59f9b4e714ae368
23521	8db34dd590ae38e2aef344f982916f6090119c2c
15037	5646f66f85ab0c5fa6361d6a7f3ff29aa35f5c92
18613	77850c735a0c623ed742a7f865382156ed08150e
15435	faec0e641e631c9b21af9083909295e3aad0a0ee
22553	ca2a6b6ac73a3df7111fc602cdc7b5af5583d7d1
16617	5c382111861212efbe6e5b8bf8a6a7ae2cb7b790
24716	5b070877df05adec7ad479a2cbcee1549233d6b6
24182	eeeef5763c7e114eca1f341a18b8c0cd28117674
16625	d1ff5592fbaa2ebd98fd6662bc4af565409f780a
5525	f95145d3b7a732187ccdf248fa5038d8490b92ed
23006	a89e857ffbadca45b24d81487a8b74b5cc34bde3
23250	d7c02589325177a5beaaad3b84c436e09a92ac10
24425	633ad482329de3539bae99088e11d1b0a3d89d2b
5581	276ac074f37f3b2ce141761081e5cd0a8c5d8cf2
1253	2c61422714bcb5935215adf442a8f5b1d80ffc54
25080	4bff14bd97b96f3d5c77f173dfcb4f97b531e186
12152	14ed47827e4a8106959b74495d2d9aa289b63396
24077	8bfb8c46223452c6a1ab20eff5b94cf1e558d54e
13044	7f6667c68d4f6f4de2647fb69d825fa2ce95b9e9
24153	d0cc06b399a2844ea9293a7051f3c07db37330ce
10844	916359d72875ae4a7de6a26b6ed2303f663de053
20415	6aa23d15d3e8b9abe3a4fa4a787daa236516c336
14510	72dca1b0fcf133ff3faf3e0062cf06d1c5adc72a
4865	817b2d7843d9f4262263a96bb01e1ff881a144ef
24100	91d4b13bd226e5f648daea6605b2007106f3cb22
3375	a18271c052c703b93a7970cb0c1f46134f676e1e
17548	3a289ff0eb825b285a0bca6a97434390e02ca2ab
16643	ac04a465a8791495e8f7278562965b15375261d8
25140	443fe7fd6a6f046c88b60fc320be81961c255a46
